id_tweet,text_tweet
1032216569621823488,"3 3 howev it look like confirm wa success as user got a welcome email so the error message on the p"
1032218829387120640,"are there ani known issu with ms account feder oauth impossible to logon to azure portal wi"
1032222037237006336,"ye virtual everyth"
1032222054391656448,"oooh sorri had n t quite clock what you after yeah common integrat"
1032222211497705472,"ca n t say i ve tri it myself though lem me know if you do n t get anywh"
1032227416931004416,"aztechhelp we ca n t stop and restart azure it is tri to suspend but the machine hang"
1032233461610934272,"my vmcan not connect on port port from a subnet port it connect if i use dfrnt subnet fro"
1032235788300365826,"work now without ani update on my side strange but good thank for your help"
1032238120950018049,"tuesazure whi tf to vst migrat is a low risk approach to start devop"
1032239004333338624,"are there ani current issu with vst my build are n t run they just sit there say wa"
1032240076883996672,"my question is can standard saml be use for role bas author send app role as a saml cl"
1032240708785250304,"sorri about the inconvenience we re work to resolve thi now we ll provide upda"
1032240965334052864,"thank for the update"
1032244389853241344,"right the option now are email notif via the left sidebar"
1032244683462909953,"azhelp azure maintenance caus our website to go down want to get in touch with support but we"
1032248103976546304,"hey for web app ani plan on properli give us a way to black list robot script look for el"
1032248139397427200,"ed is correct"
1032249604908220416,"appserviceama will app service ever support auto scale up instead of out"
1032250131607900163,"thank in advance"
1032252208161726465,"see screenshot uneect error so how do i post thi on the form"
1032252995235467264,"had to reopen and post it in pieces here you go"
1032253581447987203,"aztechhelp hi i have renam my comput name after join azure ad but the new name ha n t been"
1032258485751140352,"are build down my build are await uneectedli long and not starting"
1032258658007240705,"hi volodymyr we re current work to resolve issu with build in west europe apolo"
1032260830933463041,"one of our west europe vm is inaccessible and we have downtime is there an issue with the data centre"
1032264014921977856,"here let me rephrase it appserviceama ho"
1032269785122463744,"got it thank ed"
1032274580507906048,"hey i need to spin up some vm standard dv2 famili vcpu for a workshop thi afternoon and my limi"
1032275248870313985,"i have but ideal need it now as i ve got hr min until the workshop start and need to spin the"
1032276124540305409,"have rais it to sev a and will start warm up my vocal cord"
1032276884497858560,"fantast service from i rais a ticket about backup polici thi morn and ricardo p contacte"
1032278421236342784,"ok i might have got ahead of myself and ask for it in central us instead of easi us my bad by kin"
1032278945847226373,"workshop prepar mad thi is actual what s happen here"
1032279014373814273,"i wish i could give you a hi 5 right now thank you so much now back to set up th"
1032279423049981952,"aztechhelp hi i am pretti sure that i creat a f0 qna maker resource in the past delet it a few"
1032280459764355072,"how to list all the item in sub directori and blob in a blob"
1032280719123513345,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032281647645786112,"will thi list file or blob in sub directori too"
1032284806619455488,"is there ani new function for that thi seem bit old"
1032286681305673729,"workshop prepar mad thi is actual what s happen here"
1032289551824211970,"appserviceama is start in half an hour join our engin team and to get all of your app serv"
1032289647223877633,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032289690710409216,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032290288855863297,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032290333877460992,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032290626191192065,"appserviceama is there or are you work on a way to view a list of dev stage slot from differe"
1032291086025273344,"appserviceama ani alternative method that is no point 2 site or isol plan to connect to a vnet"
1032292032658763777,"is there a plan to increase the custom domain limit from appserviceama"
1032292132596248576,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032293178156769280,"appserviceama whi do func app on consumpt plan not have outbound ip can you change the s"
1032296113569591297,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032296236076810241,"we are not current work on such a capabl but you can see the list of slot by looki"
1032296350610681856,"we are intend on releas python on app service on linux in the next few month thank"
1032296657625333760,"we are live have a question about azure app service join us with and"
1032296877545349120,"sure you can use hybrid connect that will let you reach applic endpoint in any"
1032297174753636353,"we do n t thi option available yet though you are more than welcome to add thi to our"
1032297668771553280,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032298183001497600,"appserviceama is start in half an hour join our engin team and to get all of your app service question"
1032298198075883520,"we are live have a question about azure app service join us with and"
